date,review,reviewer,rating
23-Apr-20,"""Hey, I've got a story of a man with mental health problems who falls through the cracks of an overwhelmed system, snaps and starts killing people."" ""Hmmm, no one is brave enough to fund a production unless it's a superhero movie."" ""Ok, I think I can make this work...""",Bill T,3.5
23-Apr-20,"Joker is a billion + dollar validation of the over-arching ethos in today's society: ""I am a victim"". For folks who work hard every day on internal locus of control, personal responsibility and (despite the pain and suffering that is guaranteed in this life for ALL of us) maintaining a sense of gratitude and hopeful perseverance, it should be a shrill and disturbing alarm that this film receives seemingly universal praise amidst even louder righteous acquittal of the main character's murderous vengeance. Worse, one reviewer on another site decreed everyone in the world EXCEPT the Joker needs to be a better person. Particularly those of us who can't ""relate"" to feeling alone and isolated. This is the same mentality that would put the blame on ""mean people"" or society in general, and then specifically on a mental health professional rather than the individual who decided to go out and murder. Victim stance is far worse than a distorted, personal-responsibility-absolving crutch, it is a powerful, addictive, debilitating narcotic already being mass produced/consumed in our present society. And this film is one of the dealers.",Lonnie M,0.5
22-Apr-20,"I don't understand the people who didn't like the movie. Let's start first with Joaquin Phoenix's performance as ""The Joker"", not only did he put so much detail to every small expression on his face and every tone in his voice he also captured perfectly the body language of a schizophrenic person. Also the role of the Joker to begin with is really hard since you really need to get into the mind of a mentally ill person which is never an easy task espiciely if that person is the Joker. Now let's get to the writing, the plot was bulid very well into the psycholegy of the Joker and to a point where you see the view from his eyes and also makes you question like a person with schizophrenia what is a the reality and what isn't. The entire point in this movie is to leave Joker's past a multiple choice, just like said in the comics by the Joker himself and I quote "" I'm not exactly sure what happened. Sometimes I remember it one way, sometimes another... If I'm going to have a past, I prefer it to be multiple choice!"", by that we can understand why he doesn't remember his past do to his fight with his schizophrenia and with his reality that constantly switches. The movie is a true masterpiece that literally gives us a deep dive into the world of madness and dream of normality showing us the more human sides of Joker and not just his crazy killer psychotic persona in a more complexed and explaining way .",Yana S,5
22-Apr-20,"Sure, it's well acted, but I'm never watching this again.",Adam Z,3
22-Apr-20,"Masterpiece. From Joaquin's incredible performance to the amazing and smart story-telling, this movie is a masterpiece. You know people who judged Joaquin's role and said they preferred seeing Heath Ledger as Joker are wrong. Don't get me wrong Heath was an iconic Joker character he deserves all fans, but some critics didn't really get this movie's main idea. I say both of them did an amazing job acting as Joker. Heath Ledger as the famous comic book Joker , enjoyed by kids and teens. And Joaquin as the psycho mental ill Joker, who was affected by people around him and how they treated him. I think what the script and director wanted to focus on was not only Joker character, but actually what comes out of any mentally unstable person who has been bullied in his life like that. This is an awesome movie with an emotional message for us all. And it's definitely a must-see!",Layale L,4
22-Apr-20,It was not what everyone said it was it was pretty stupid in you ask me,Allen R,0.5
22-Apr-20,"The fact that ""critics"" gave this movie in 68% is criminal, Joaquin Phoenix won an Oscar from this role. This movie was pretty unpredictable, but one of the better movies I have seen in the last 5 years.",John M,4.5
22-Apr-20,perfect way for how joker came to be in a real way. great filmmaking. great acting,,5
21-Apr-20,"It may not be for everyone, but with a good script that understands the source material and a magnificent performance from both Joaquin Phoenix and Robert De Niro, the film ma become a future classic, standing as an evolution of the comic inspired cinema",Diego P,4
21-Apr-20,"With out of this world acting from Phoenix, this one man band film displays a compelling and dark story, assisted with great directing from Phillips.",Ben M,5
20-Apr-20,Amazing acting of Joaquin Phoenix,Olena K,4
18-Apr-20,"At first, I didn't know whether I should have booked tickets to watch Joker because I heard mixed reviews but I'm glad I went to see Joker because I absolutely loved it and so did my mates that I went with. Joaquin Phoenix is phenomenal as Arthur Fleck, a middle aged man who is lonely and lives with his mother in a very unhealthy house, Arthur Fleck symbolises the lower class in society as he realises that Gotham is decaying and it effects him very badly as we see throughout the film how he starts to lose his sanity and becomes the Joker or a Joker like character, it was very emotional seeing what Arthur has to go through in this film. Thomas Wayne represents the upper class in society as he is a rich man who has a wealthy lifestyle and only cares about the rich. Arthur starts a revolt against the upper class which leads to people from the lower class joining forces and going after Thomas Wayne and the upper class. Todd Phillips did a brilliant job at depicting todays society through a case study of the Joker, the Joker is a brilliant example of a lower class person as in The Killing Joke comic, he is poor and is a failed comedian. Joker is a must see and it is in my top 10 list of favourite films, the score is chilling and on point thanks to Hildur Gutnadottir, the atmosphere is created perfectly by making it eerie, the acting is marvellous and I declare this film a masterpiece because in my opinion, this film doesn't have any flaws and I enjoyed every minute of it.",Oliver K,5
18-Apr-20,"Joker was a mind blowing movie to me. From the performances, the score...the everything all make this movie something really awesome!",Cody R,4
14-Apr-20,Dark but brilliant storytelling with a disturbingly memorable performance by Mr. Phoenix.,Josh C,4
13-Apr-20,This is an incredible movie that everyone must watch. It's just an emotional roller coaster and seeing Arthur trying to be a good guy but the world hates him so he turns into his alter ego Joker and becomes a new person and gets praised for everything he did afterwords. I just absolutely love this movie and will definitely recommend it!,Ty S,5
13-Apr-20,"This movie is good to look at. The lighting and colour schemes are pleasant to the eye. The problem starts when the viewer starts to dig into them for meaning. In the first 45 minutes or so, it is easy to define what's real and what's a segment of Arthur's imagination. I can comprehend Phillips' vision. As Arthur's mental health gets worse, the world gets more confusing and he can no longer separate the reality from his fantasies. But... Honestly, things could get more creative than messing with lightning and colours. 2) The script is one word: Boring. Noone sounds real. They are either overdramatic or plain dull. Empty words which can not convey any other emotion, rather than hatred or immense emotional pain. The storyline was dumb. I understand society despises people, especially those who are different in any way, shape or form, being that physical or mental, but in this movie, this is done so aggressively that I think it causes even more damage. 3) Yes, Joaquin Phoenix is a great actor, but did he deserve all the awards he got for this particular part? No. He has been in so many other movies, in which his acting was much more organic, much more intense, much more human. The only thing this movie is trying so hard to convey is proving that Arthur is human. Phoenix, in my opinion, fails that task. The acting of the others is solid, but not special. Nothing striking, nothing that ticks in this movies, in terms of acting. 4) The message that this movie tries to convey is good. It tries to change the world for the better, no one can criticise that. It is extremely challenging to write from the perspective of a person living with a mental illness, but it can be done and it can be done immensely well. I suggest you watch one movie, which writing has left me speechless called ""Mary and Max"".",joe e,2
13-Apr-20,This movie is the definition of cinema. Phoenix was great as Arthur and the story was amazing. You can really tell Arthur's life just really sucked and how his mental illness makes his life even worse. And the ending was amazing cause it wants you to question the movie afterwards.,Kendall C,5
12-Apr-20,"This film accomplishes an incredible task - making a cartoonish supervillian, hell-bent on destruction for destruction's sake, a perfectly believable character. Phoenix's performance is often agonizing to watch, but I certainly couldn't take my eyes away.",John W,5
12-Apr-20,"Joker gives the audience what they did not expect, which is to be at the edge of their seat hoping that the joker does not kill anybody.",Blessing M,4.5
12-Apr-20,A new way of adapting comics for cinema.,Joao B,5
11-Apr-20,Kind of an ugly movie but I suppose that's what they were going for. Not exactly Tim Burton...,Tim G,3.5
11-Apr-20,"A well rounded film in every aspect. The only ""bad"" thing about it its how much i tought on Taxi Driver while watching it.",Red R,3.5
11-Apr-20,Fantastic! Very very well directed.,Chris A,5
